"Sample ID","Biosample type","Biosample name","Tissue type","Cancer type","Region number"
"Sample_0653","Stem Cell","hES-to-Pancreatic endoderm cell","Embryo","Normal","43807"
"Sample_0654","Cell Line","HESC","Embryo","Normal","104631"
"Sample_0655","Cell Line","HESC","Embryo","Normal","36226"
"Sample_0656","Cell Line","HESC","Embryo","Normal","19894"
"Sample_0657","Cell Line","HESC","Embryo","Normal","58065"
"Sample_0658","Cell Line","HESC","Embryo","Normal","39640"
"Sample_0659","Primary Cell","THP1 AML cell","Blood","Leukemia","19176"
"Sample_0660","Primary Cell","THP1 AML cell","Blood","Leukemia","26034"
"Sample_0661","Cell Line","OF4106","Brain","Other","39259"
"Sample_0662","Cell Line","OF4106","Brain","Other","36552"
"Sample_0663","Cell Line","OF4106","Brain","Other","41333"
"Sample_0664","Cell Line","OF4106","Brain","Other","32424"
"Sample_0665","Cell Line","OF4106","Brain","Other","31678"
"Sample_0666","Cell Line","OF4106","Brain","Other","38729"
"Sample_0667","Cell Line","Ishikawa","Other","Endometrial cancer","27480"
"Sample_0668","Cell Line","Ishikawa","Other","Endometrial cancer","10676"
"Sample_0669","Cell Line","Ishikawa","Other","Endometrial cancer","19192"
"Sample_0670","Cell Line","Ishikawa","Other","Endometrial cancer","2390"
"Sample_0671","Cell Line","HFF","Foreskin","Normal","43426"
"Sample_0672","Cell Line","HFF","Foreskin","Normal","39114"
"Sample_0673","Cell Line","HFF","Foreskin","Normal","49890"
"Sample_0674","Cell Line","HFF","Foreskin","Normal","52498"
"Sample_0675","Cell Line","HFF","Foreskin","Normal","27994"
"Sample_0676","Cell Line","HFF","Foreskin","Normal","38135"
"Sample_0677","Cell Line","HFF","Foreskin","Normal","29366"
"Sample_0678","Cell Line","HFF","Foreskin","Normal","32344"
"Sample_0679","Cell Line","HFF","Foreskin","Normal","41645"
"Sample_0680","Cell Line","HFF","Foreskin","Normal","53634"
"Sample_0681","Cell Line","HFF","Foreskin","Normal","51731"
"Sample_0682","Cell Line","HFF","Foreskin","Normal","57126"
"Sample_0683","Cell Line","HFF","Foreskin","Normal","64330"
"Sample_0684","Cell Line","HFF","Foreskin","Normal","76609"
"Sample_0685","Cell Line","HFF","Foreskin","Normal","83139"
"Sample_0686","Cell Line","HFF","Foreskin","Normal","78655"
"Sample_0687","Cell Line","HFF","Foreskin","Normal","82409"
"Sample_0688","Cell Line","HFF","Foreskin","Normal","86685"
"Sample_0689","Cell Line","HFF","Foreskin","Normal","68313"
"Sample_0690","Cell Line","HFF","Foreskin","Normal","76449"
"Sample_0691","Cell Line","HFF","Foreskin","Normal","97944"
"Sample_0692","Cell Line","HL-60","Blood","Leukemia","37682"
"Sample_0693","Cell Line","HL-60","Blood","Leukemia","20014"
"Sample_0694","Cell Line","HL-60","Blood","Leukemia","19306"
"Sample_0695","Cell Line","synovial sarcoma","Sarcomas","Human Synovial sarcoma","25496"
"Sample_0696","Cell Line","synovial sarcoma","Sarcomas","Human Synovial sarcoma","64714"
"Sample_0697","Cell Line","synovial sarcoma","Sarcomas","Human Synovial sarcoma","29483"
"Sample_0698","Other","Endometrial stromal cell","Other","Normal","55231"
